2025-12-17 20:42:03 - INFO - Loading data.
2025-12-17 22:40:50 - INFO - Loading data.
2025-12-17 22:40:52 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrExameAbrev': 'All'}
2025-12-17 22:41:03 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrExameAbrev': 'All'}
2025-12-17 22:41:15 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrExameAbrev': 'All'}
2025-12-17 22:41:22 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrExameAbrev': 'All'}
2025-12-17 22:41:26 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrExameAbrev': 'All'}
2025-12-17 22:41:31 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'Before', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrExameAbrev': 'All'}
2025-12-17 22:41:35 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrExameAbrev': 'All'}
2025-12-17 22:41:37 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 2016, 'Sexo': 'All', 'PubPriv': 'All', 'DescrExameAbrev': 'All'}
2025-12-17 22:41:41 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrExameAbrev': 'All'}
2025-12-17 22:41:44 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'Girls', 'PubPriv': 'All', 'DescrExameAbrev': 'All'}
2025-12-17 22:41:55 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'Boys', 'PubPriv': 'All', 'DescrExameAbrev': 'All'}
2025-12-17 22:41:59 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'Girls', 'PubPriv': 'All', 'DescrExameAbrev': 'All'}
2025-12-17 22:42:17 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'Girls', 'PubPriv': 'All', 'DescrExameAbrev': 'All'}
2025-12-17 22:42:24 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'Girls', 'PubPriv': 'All', 'DescrExameAbrev': 'All'}
2025-12-17 22:42:28 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'Boys', 'PubPriv': 'All', 'DescrExameAbrev': 'All'}
2025-12-17 22:42:51 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'Boys', 'PubPriv': 'PRI', 'DescrExameAbrev': 'All'}
2025-12-17 22:42:54 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'PRI', 'DescrExameAbrev': 'All'}
2025-12-17 22:43:04 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'PUB', 'DescrExameAbrev': 'All'}
2025-12-17 22:43:09 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrExameAbrev': 'All'}
2025-12-17 22:43:12 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrExameAbrev': 'All'}
2025-12-17 22:43:23 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrExameAbrev': 'All'}
2025-12-17 22:43:27 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrExameAbrev': 'Português'}
2025-12-17 22:46:40 - INFO - Loading data.
2025-12-17 22:46:40 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-17 23:59:02 - INFO - Building chart with motif: Count per region, series: Covid, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-17 23:59:28 - INFO - Building chart with motif: Count per region, series: Covid, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Recorrente'}
2025-12-17 23:59:48 - INFO - Building chart with motif: Count per region, series: Covid, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Cient-Human'}
2025-12-18 00:00:02 - INFO - Building chart with motif: Mean grade per year, series: Covid, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Cient-Human'}
2025-12-18 00:00:13 - INFO - Building chart with motif: Mean grade per year, series: Covid, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 00:00:18 - INFO - Building chart with motif: Mean grade per year, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 00:10:14 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 00:11:02 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 00:12:15 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 00:13:50 - INFO - Loading data.
2025-12-18 00:13:50 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 00:13:56 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 00:14:08 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 00:14:34 - INFO - Building chart with motif: Mean grade per year, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 00:15:28 - INFO - Building chart with motif: Count per exam, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 00:15:41 - INFO - Building chart with motif: Count per exam, series: None, normalize: False, filters: {'Covid': 'After', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 00:15:46 - INFO - Building chart with motif: Mean grade per year, series: None, normalize: False, filters: {'Covid': 'After', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 00:19:14 - INFO - Building chart with motif: Mean grade per year, series: None, normalize: False, filters: {'Covid': 'After', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 00:19:23 - INFO - Building chart with motif: Mean grade per year, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
